"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Brian","English","benglish@centurymgmt.com","9167843666","","","4011 Alvis Ct","Rocklin","CA","95677",,,"Warehouse space with 1,089 SF office area. All units have warehouse ceiling insulation.","INDUSTRIAL","5",5504,"","","LEASE","TBD","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","1000 Enterprise Way","Roseville","CA","95678",,2006,"Office space available for lease","OFFICE","150",6387,"First Floor, Open Floorplan, Furniture included, Full Service Lease","","LEASE","1.75 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","1000 Enterprise Way","Roseville","CA","95678",,2006,"Office space available for lease","OFFICE","210",20415,"Second Floor, Full Service Lease","","LEASE","1.65 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","1620 Santa Clara Dr","Roseville","CA","95661",,2000,"Modern office building, Directly off Douglas Blvd, Internet/phone: Consolidated Communications, Full Service Lease, Ample Parking, Minutes to banking, shopping, restaurants, housing and I-80","OFFICE","115",3931,"Directly off Douglas Blvd, Full Service Lease, Move-In Ready","","LEASE","1.65 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","2281 Lava Ridge Ct","Roseville","CA","95661",,,"55,800 RSF, three-story Class 'A' office 4/1000 Parking ratio Fiber: Consolidated Communications Easy access to I-80 via Eureka Rd or Douglas Blvd Located near restaurants, shopping and entertainment","OFFICE","120",3557,"First Floor, Full Service Lease","","LEASE","2.00 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","2281 Lava Ridge Ct","Roseville","CA","95661",,,"55,800 RSF, three-story Class 'A' office 4/1000 Parking ratio Fiber: Consolidated Communications Easy access to I-80 via Eureka Rd or Douglas Blvd Located near restaurants, shopping and entertainment","OFFICE","170",2119,"","","LEASE","2.00 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","2995 Foothills Blvd","2995 Foothills Blvd","Roseville","CA","95747",,,"5/1000rsf parking, large open area with private offices around window line, large break room, numerous conference rooms, first floor. West Roseville, Minutes to I -80, downtown Roseville, shopping, banking , restaurants, golfing.","OFFICE","110",16486,"First Floor, directly off lobby, Modern Floorplan, Open Ceiling/ LED lighting, Concrete Floors, Furniture included, Full Service Lease","","LEASE","1.75 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","2995 Foothills Blvd","2995 Foothills Blvd","Roseville","CA","95747",,,"5/1000rsf parking, large open area with private offices around window line, large break room, numerous conference rooms, first floor. West Roseville, Minutes to I -80, downtown Roseville, shopping, banking , restaurants, golfing.","OFFICE","150",6730,"First Floor, Full Service Lease","","LEASE","1.80 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","2995 Foothills Blvd","2995 Foothills Blvd","Roseville","CA","95747",,,"5/1000rsf parking, large open area with private offices around window line, large break room, numerous conference rooms, first floor. West Roseville, Minutes to I -80, downtown Roseville, shopping, banking , restaurants, golfing.","OFFICE","290",9379,"Second Floor, Full Service Lease","","LEASE","1.80 per sqft","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","3031 Foothills Blvd","Roseville","CA","95747",,,"3,230 SF Available (Cold Shell), 85% Occupied, Near DenioÕs Auction with high weekend traffic","RETAIL","135",3230,"Cold Shell","","LEASE","TBD","FALSE","","","","","","","",""
"Brian","English","benglish@centurymgmt.com","9167843666","","","545 Jefferson Blvd","West Sacramento","CA","95605",,,"480 SF Office, 1 Truck dock roll-up door, 2 Grade level roll-up doors, Gross, no C.A.M. lease, COMING SOON","INDUSTRIAL","4",6912,"","","LEASE","TBD","FALSE","","","","","","","",""
