"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1250 Imeson Park Blvd","Jacksonville","FL","32218",,,"A FLEX/LIGHT INDUSTRIAL BUSINESS COMMUNITY IN NORTH JACKSONVILLE Situated in Imeson Industrial Park 5 buildings ranging from 39,000-69,000 square feet 8Õ, 20Õ, 24Õ clear heights 4Õ-high dock positions with drive-in capabilities Leasable spaces starting at 3,000 square feet Free parking Located on +/- 25 acres in North JacksonvilleÕs Duval County Immediate access to I-95 and I-295 Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment Building signage opportunities Customize space with our in-house design and construction team Expected delivery Q3 2022","INDUSTRIAL","410-414",17888,"","","LEASE","TBD","FALSE","","","","","","","",""
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1250 Imeson Park Blvd","Jacksonville","FL","32218",,,"A FLEX/LIGHT INDUSTRIAL BUSINESS COMMUNITY IN NORTH JACKSONVILLE Situated in Imeson Industrial Park 5 buildings ranging from 39,000-69,000 square feet 8Õ, 20Õ, 24Õ clear heights 4Õ-high dock positions with drive-in capabilities Leasable spaces starting at 3,000 square feet Free parking Located on +/- 25 acres in North JacksonvilleÕs Duval County Immediate access to I-95 and I-295 Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment Building signage opportunities Customize space with our in-house design and construction team Expected delivery Q3 2022","INDUSTRIAL","501-507",26372,"","","LEASE","TBD","FALSE","","","","","","","",""
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1250 Imeson Park Blvd","Jacksonville","FL","32218",,,"A FLEX/LIGHT INDUSTRIAL BUSINESS COMMUNITY IN NORTH JACKSONVILLE Situated in Imeson Industrial Park 5 buildings ranging from 39,000-69,000 square feet 8Õ, 20Õ, 24Õ clear heights 4Õ-high dock positions with drive-in capabilities Leasable spaces starting at 3,000 square feet Free parking Located on +/- 25 acres in North JacksonvilleÕs Duval County Immediate access to I-95 and I-295 Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment Building signage opportunities Customize space with our in-house design and construction team Expected delivery Q3 2022","INDUSTRIAL","508-516",33628,"","","LEASE","TBD","FALSE","","","","","","","",""
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1350 Zoo Pkwy","Jacksonville","FL","32226",,,"A FLEX & LIGHT INDUSTRIAL BUSINESS COMMUNITY IN JACKSONVILLE, Situated in Imeson Industrial Park, 18Õ clear heights, 4Õ-high dock positions with drive-in capabilities, Leasable spaces starting at 3,000 square feet, Free parking, Located on +/- 25 acres in North JacksonvilleÕs Duval County, Immediate access to I-95 and I-295, Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment, Building signage opportunities, Customize space with our in-house design and construction team","INDUSTRIAL","600",34500,"","","LEASE","TBD","FALSE","","","","","","","",""
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1351 Zoo Pkwy","Jacksonville","FL","32226",,,"A FLEX & LIGHT INDUSTRIAL BUSINESS COMMUNITY IN JACKSONVILLE, Situated in Imeson Industrial Park, 18Õ clear heights, 4Õ-high dock positions with drive-in capabilities, Leasable spaces starting at 3,000 square feet, Free parking, Located on +/- 25 acres in North JacksonvilleÕs Duval County, Immediate access to I-95 and I-295, Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment, Building signage opportunities, Customize space with our in-house design and construction team","INDUSTRIAL","700",40000,"","","LEASE","TBD","FALSE","","","","","","","",""
"Pat","Franklin","pfranklin@merrittproperties.com","4102982600","","","1352 Zoo Pkwy","Jacksonville","FL","32226",,,"A FLEX & LIGHT INDUSTRIAL BUSINESS COMMUNITY IN JACKSONVILLE, Situated in Imeson Industrial Park, 18Õ clear heights, 4Õ-high dock positions with drive-in capabilities, Leasable spaces starting at 3,000 square feet, Free parking, Located on +/- 25 acres in North JacksonvilleÕs Duval County, Immediate access to I-95 and I-295, Close proximity to Jacksonville International Airport, Jacksonville Port Authority and Fourth Navy Expeditionary Logistics Regiment, Building signage opportunities, Customize space with our in-house design and construction team","INDUSTRIAL","800",40000,"","","LEASE","TBD","FALSE","","","","","","","",""
"Ashley","Reimer","areimer@merrittproperties.com","4102982600","","","1981 Moreland Pkwy","Annapolis","MD","21401",,,"Quick access to Route 50, I-97 and Route 2 Five buildings totaling 108,750 SF One-story masonry construction 20' clear ceiling height Docks and drive-ins FiOS service available 120/208 volt, 3-phase, 4-wire service Gas heat / public utilities Sprinklered Zoned I-1 - Anne Arundel County Manufacturing; Warehousing; Wholesaling; Office","INDUSTRIAL","5_b1-3",14250,"","","LEASE","TBD","FALSE","","","","","","","",""
"Vince","Bagli","vbagli@merrittproperties.com","4102982600","","","10820 Guilford Rd","Annapolis Junction","MD","20701",,,"25 parking spaces","INDUSTRIAL","201-204",11872,"","","LEASE","TBD","FALSE","","","","","","","",""
"Vince","Bagli","vbagli@merrittproperties.com","4102982600","","","10830 Guilford Rd","Annapolis Junction","MD","20701",,,"ONE MILE FROM FT. MEADE AND NSA Access via MD Route 32, I-295, U.S. Route 1 and I-95 One-story brick construction with steel trim 20Õ clear ceiling height 120/208 volt, 3-phase, 4-wire service Gas heat/public utilities Docks and drive-ins Sprinklered FiOS service available Howard County, M2 zoning: manufacturing, warehousing/distribution, office, R&D","INDUSTRIAL","312",2700,"","","LEASE","TBD","FALSE","","","","","","","",""
"Vince","Bagli","vbagli@merrittproperties.com","4102982600","","","1400 Desoto Rd","Baltimore","MD","21230",,,"I-95 visibility Minutes from I-695, I-95 and major arteries serving the Baltimore Metropolitan area Located in a federal HubZone 154,800 SF flex-warehouse building Located in the Baltimore City Enterprise Zone One-story masonry construction 20Õ clear ceiling height Docks and drive-ins Comcast service available 120/208 volt, 3-phase, 4-wire service Gas heat/public utilities Sprinklered Baltimore City, M-1-1 zoning: manufacturing, warehousing, office, incidental retailing","INDUSTRIAL","1400-06",11778,"","","LEASE","TBD","FALSE","","","","","","","",""
