"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Lee","Jatta","lee@borelli.com","4084534700","","","42808 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART. Parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","OFFICE","200",4008,"Five Privates, Storage, Large Open Area. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42808 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART. Parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","OFFICE","224",357,"Private Micro Suite, Interior Office. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","TBD","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42808 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART. Parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","OFFICE","101",6045,"Corner suite off main lobby with plenty of glass, Reception, Six Privates, Two Large Conference Rooms, Kitchen, Storage, Large Open Area. Common conference room.","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42808 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART. Parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","OFFICE","221",2562,"Three Private Offices with furniture, Conference Room, Storage/Server Room, Large Open Area, Kitchenette. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","110",3323,"Four Private Offices, Conference Room, Kitchen, Large Open Area. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.29 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","210",1579,"Three Private Offices, Open Area. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","230",423,"Open internal micro space, kitchenette. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","206",1449,"Three Private Offices, Conference Room, Storage Room, Open Area, Corner office with plenty of glass. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","108",2623,"Four Private Offices, Conference Room, Kitchen, Large Open Area. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership","","LEASE","2.38 per sqft","FALSE","","","","","","","",""
"Lee","Jatta","lee@borelli.com","4084534700","","","42840 Christy St","Fremont","CA","94538",,,"Located at HWY 880 and Auto Mall Parkway; Pacific Commons shopping complex down the street, with dozens of big name retailers, financial institutions, and a range of restaurants Ð from fast food to fine dining; AC Transit bus service to BART.","OFFICE","201",5809,"*FOR THE FIRST YEAR OF OCCUPANCY, THE AVERAGE RATE IS $2.29 PER RSF PER MONTH, BASED ON A MINIMUM TWO (2) YEAR LEASE. THE SECOND YEARÕS AVERAGE RATE IS $2.83 PER RSF PER MONTH. Twelve Private Offices with furniture, Conference Room, Server/storage room, Kitchen, Large Open Area with existing cubicles, Space ready for occupancy, Corner office with plenty of glass. Common conference room, fitness center with m/w showers, parking ratio 4/1000, flexible lease terms, responsive and local property management and ownership, visit www.FremontBusinessPark.com for more information.","","LEASE","2.90 per sqft","FALSE","","","","","","","",""
