"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","1580 W. San Bernardino Rd.","1580 W San Bernardino Rd","Covina","CA","91722",,,"Gated park. Close to 10/210 Freeways","INDUSTRIAL","A",1750,"2 offices, 2 rr, OH","","LEASE","1.60 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","12311 Westminster Ave","Garden Grove","CA","92703",,,"Frontage on Westminster. Close to 22/5 Freeways. 7% Full Commission (1st year)","RETAIL","",1122,"Showroom, rr","","LEASE","2.40 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","813 E Route 66","Glendora","CA","91740",,,"100 AMP, 3-phase power. Good access to 210 Freeway.","INDUSTRIAL","",1150,"Showroom, rr, OH","","LEASE","1.30 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","Cypress Street/La Habra Business Complex","951 S Cypress St","La Habra","CA","90631",,,"x","INDUSTRIAL","H",1200,"1 office, 2 rr, OH","","LEASE","1.60 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","8939 Vernon Ave","Montclair","CA","91763",,,"Near Montclair Place. Close to 10 Freeway at Central Ave","INDUSTRIAL","G",1200,"1 office, rr, OH","","LEASE","1.40 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","760 E Francis St","Ontario","CA","91761",,,"1 office, rr, OH Rear loader. Good parking.","INDUSTRIAL","L",1800,"1 office, rr, OH","","LEASE","1.40 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","Batavia Struck Business Park","1010 N Batavia St","Orange","CA","92867",,,"Industrial Units Sizes 1,200 to 3,600 Sq. Ft. Units Office Space in Each Unit Individual Restrooms Apmple Parking Rear OH Truck Doors Easy 55 & 57 Freeway Access Fully Fire Sprinklered Near Stadium and Arena","INDUSTRIAL","C",1780,"1 office, mezzanine, rr, OH","","LEASE","1.65 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","9436 E. Whittier Blvd","9436 Whittier Blvd","Pico Rivera","CA","90660",,,"Frontage on Whittier Blvd, EZ Access to 605 Fwy, & Glass Storefront","RETAIL","",1600,"Showroom, storeroom, rr","","LEASE","1.60 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","9444 Whittier Blvd","Pico Rivera","CA","90660",,,"Frontage on Whittier Blvd. Glass storefront. Easy access to 605 Freeway","RETAIL","",880,"Showroom, rr","","LEASE","2.00 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","9516 Whittier Blvd","Pico Rivera","CA","90660",,,"Frontage on Whittier Blvd, EZ Access to 605 Fwy, & Glass Storefront","RETAIL","",900,"Showroom, 2 offices, rr","","LEASE","2.11 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","1245 N Fitzgerald Ave","Rialto","CA","92376",,,"2 offices, rr, OH Faces baseline.","INDUSTRIAL","107",1977,"1 office, rr, OH","","LEASE","1.30 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","1260 N Fitzgerald Ave","Rialto","CA","92376",,,"1 office, rr, 2 OH Rear loader. Key @ 1260-100","INDUSTRIAL","204",920,"1 office, rr, OH","","LEASE","1.30 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","","785 W Rialto Ave","Rialto","CA","92376",,,"Great starter unit. 100 AMP, 3-Phase Power","INDUSTRIAL","G",1200,"1 office, rr, OH","","LEASE","1.40 per sqft","FALSE","","","","","","","",""
"Dale","Conner","leasing@sdassociatesproperties.com","7149977956","","Airport Business Park","703 S Gifford Ave","San Bernardino","CA","92408",,,"Industrial & Office Units Sizes 1,062 to 4,431 Sq. Ft. Units North of I-10 Fwy, Waterman Exit Front Loading OH Doors Fire Sprinklers Individual Restrooms Air Conditioned Offices 100 & 200 AMP 3 Phase Power West of San Bernardino Airport","INDUSTRIAL","223",1062,"1 office, rr, OH","","LEASE","1.00 per sqft","FALSE","","","","","","","",""
