"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Sunset Ridge Professional Plaza","2920 N Green Valley Pkwy","Henderson","NV","89014",,,"","OFFICE","211-215",3898,"Medical Office ready to occupy","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Sunset Ridge Professional Plaza","2920 N Green Valley Pkwy","Henderson","NV","89014",,,"","OFFICE","211",1074,"Medical Office ready to occupy","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Sunset Ridge Professional Plaza","2920 N Green Valley Pkwy","Henderson","NV","89014",,,"","OFFICE","215",1075,"Medical Office ready to occupy","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Sunset Ridge Professional Plaza","2920 N Green Valley Pkwy","Henderson","NV","89014",,,"","OFFICE","217",1750,"Medical Office ready to occupy","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Sunset Ridge Professional Plaza","2920 N Green Valley Pkwy","Henderson","NV","89014",,,"","OFFICE","219",1067,"Medical Office ready to occupy","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","2560 E Sunset Rd","Las Vegas","NV","89120",,,"Professional Office building located in the highly visible building in Park 2000 Business Park with office retail and industrial tenants with Wells Fargo Bank, McDonalds, Taco bell, Rose Hair Salon, Allstate Insurance, and many more high traffic tenants High Traffic north east corner of Sunset and Eastern High Traffic Professional Office Retail Use possible","RETAIL","3",462,"","","LEASE","1.20 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","3560 S Eastern Ave","Las Vegas","NV","89169",,,"Located office condo, move-in ready, easy access, Freshly Painted, Excellent for small any small business or startup.? Classic Functional Floor Plan, with Reception area , Private offices, Conference Room, Storage / File room Private Restroom, Covered Parking and ample open parking for employees and customers.? Centrally located on the Eastern Ave Between Desert Inn super arterial and Flamingo Roads minutes to the Las Vegas Strip, McCarran International Airport and Convention Centers and retail centers.?","OFFICE","",1000,"","","LEASE","1.25 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","3909 S Maryland Pkwy","Las Vegas","NV","89119",,,"Freshly remodel mid-rise professional office building with Doorman and security will build to suite to tenantÕs needs. View of city, Las Vegas Strip and Mountain. Suite size range from 340 square feet to over 5,000 square feet can accommodate reservations system tenants, call centers, medical uses, small business that need to be centrally located with Security and private entry system","OFFICE","400",432,"","","LEASE","1.00 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","3909 S Maryland Pkwy","Las Vegas","NV","89119",,,"Freshly remodel mid-rise professional office building with Doorman and security will build to suite to tenantÕs needs. View of city, Las Vegas Strip and Mountain. Suite size range from 340 square feet to over 5,000 square feet can accommodate reservations system tenants, call centers, medical uses, small business that need to be centrally located with Security and private entry system","OFFICE","419",557,"","","LEASE","1.00 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","3909 S Maryland Pkwy","Las Vegas","NV","89119",,,"Freshly remodel mid-rise professional office building with Doorman and security will build to suite to tenantÕs needs. View of city, Las Vegas Strip and Mountain. Suite size range from 340 square feet to over 5,000 square feet can accommodate reservations system tenants, call centers, medical uses, small business that need to be centrally located with Security and private entry system","OFFICE","414",394,"","","LEASE","1.00 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","3909 S Maryland Pkwy","Las Vegas","NV","89119",,,"Freshly remodel mid-rise professional office building with Doorman and security will build to suite to tenantÕs needs. View of city, Las Vegas Strip and Mountain. Suite size range from 340 square feet to over 5,000 square feet can accommodate reservations system tenants, call centers, medical uses, small business that need to be centrally located with Security and private entry system","OFFICE","402",780,"","","LEASE","1.00 per sqft","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","4560 S Eastern Ave","Las Vegas","NV","89119",,,"Southeast Corner of Eastern and Harmon in Medical District minutes to UNLV, Las Vegas Strip, Desert Springs and Sunrise Hospitals, Several Assisted Living centers, Interstate 15 and 95 freeways, McCarran airport Classic Garden Style Executive Office and Medical Building great visibility monument signage Newly Remodeled well maintained complex with Lush Landscaping private patios high parking ratio","OFFICE","17",1625,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","4560 S Eastern Ave","Las Vegas","NV","89119",,,"Southeast Corner of Eastern and Harmon in Medical District minutes to UNLV, Las Vegas Strip, Desert Springs and Sunrise Hospitals, Several Assisted Living centers, Interstate 15 and 95 freeways, McCarran airport Classic Garden Style Executive Office and Medical Building great visibility monument signage Newly Remodeled well maintained complex with Lush Landscaping private patios high parking ratio","OFFICE","26",1200,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","105",4810,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","312",4339,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","100",6834,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","313",991,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","310",2404,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","Rainbow","500 N Rainbow Blvd","Las Vegas","NV","89107",,,"The beautiful three story building offers impressive views of the surrounding Las Vegas Valley. Offices are fully equipped and a range of secretarial services are available. Numerous restaurants, retail sites, and gaming facilities are on-site. Easy freeway access and one of the most recognized business addresses in Las Vegas makes this business center an ideal location. The facility is conveniently located just minutes NW of the heart of Downtown Las Vegas and many hotels and casinos are close by.","OFFICE","216",1914,"","","LEASE","TBD","FALSE","","","","","","","",""
"Anthony R","Castrignano","tony.castrignano@sky-mesa.com","7022626185","","","5580 W Flamingo Rd","Las Vegas","NV","89103",,,"Graden Style walk up","OFFICE","105",5269,"","","LEASE","1.50 per sqft","FALSE","","","","","","","",""
